feature_index,mean_importance,std_importance,coefficient_of_variation,min_importance,max_importance,feature_name
7,0.5034973,0.011541566,0.022922795,0.4809332,0.5304875,"20"" Soil Temp - Max (0)"
195,0.50296146,0.011751781,0.023365172,0.47517627,0.5502008,Daily Mean PM10 Concentration (-6)
120,0.5027973,0.011770016,0.023409067,0.48097047,0.530648,RH - Min (-1)
142,0.50273585,0.012928854,0.025716992,0.47573292,0.5367434,Solar Rad. - Total (-2)
169,0.5025254,0.012670363,0.02521338,0.47452,0.53190476,Wind Vector Direction (-1)
106,0.50233555,0.01218244,0.024251597,0.47217053,0.5301055,RH - Max (-1)
168,0.5023191,0.010670655,0.021242782,0.4772699,0.53522617,Wind Vector Direction (0)
1,0.50231874,0.012552116,0.02498835,0.46512246,0.52912974,MARICOPA (-1)
126,0.50209177,0.013775274,0.02743577,0.4682591,0.5433486,Reference ET (0)
14,0.5019517,0.01221447,0.024333954,0.4682718,0.53710306,"20"" Soil Temp - Mean (0)"
155,0.5018653,0.011572557,0.023059087,0.46993318,0.52597606,Wind Direction Std Dev (-1)
166,0.5018504,0.0121714985,0.02425324,0.4760742,0.5396019,Wind Speed - Mean (-5)
51,0.5018496,0.011588325,0.02309123,0.4782261,0.5326424,Actual Vapor Pressure - Daily Mean (-2)
111,0.501828,0.013410647,0.026723593,0.46217477,0.53686374,RH - Max (-6)
33,0.50177175,0.012100404,0.024115356,0.4750193,0.5334227,"4"" Soil Temp - Max (-5)"
9,0.5017117,0.010905089,0.021735767,0.47337595,0.5413822,"20"" Soil Temp - Max (-2)"
32,0.50163484,0.011321828,0.02256986,0.47485703,0.5328954,"4"" Soil Temp - Max (-4)"
171,0.50163156,0.012259925,0.024440099,0.4744881,0.539356,Wind Vector Direction (-3)
83,0.5016003,0.01135359,0.022634733,0.47595847,0.5270831,Dewpoint - Daily Mean (-6)
82,0.50156546,0.012671396,0.025263693,0.47445986,0.5363761,Dewpoint - Daily Mean (-5)
42,0.5013973,0.012065545,0.02406384,0.465273,0.527936,"4"" Soil Temp - Min (0)"
159,0.5013547,0.012483283,0.024899105,0.47217745,0.5354983,Wind Direction Std Dev (-5)
178,0.50129706,0.0130179105,0.025968457,0.47410065,0.54010963,Wind Vector Magnitude (-3)
117,0.50125027,0.01339481,0.0267228,0.47892833,0.54282564,RH - Mean (-5)
57,0.50114363,0.013336788,0.026612705,0.46303004,0.5300461,Air Temp - Max (-1)
119,0.5010965,0.012971107,0.025885448,0.46691605,0.526622,RH - Min (0)
28,0.5010751,0.011645687,0.0232414,0.4704472,0.5306824,"4"" Soil Temp - Max (0)"
163,0.50102645,0.014038726,0.02801993,0.4650232,0.53464043,Wind Speed - Mean (-2)
113,0.50097597,0.012977723,0.02590488,0.47107074,0.52806085,RH - Mean (-1)
104,0.5009702,0.013010864,0.025971334,0.47608152,0.5356112,Precipitation - Total (-6)
78,0.50094604,0.013803671,0.027555205,0.46319318,0.5357775,Dewpoint - Daily Mean (-1)
65,0.5009372,0.01297182,0.025895102,0.47705615,0.52826566,Air Temp - Mean (-2)
24,0.5009353,0.012297507,0.024549093,0.46048403,0.528482,"20"" Soil Temp - Min (-3)"
177,0.5009291,0.013278068,0.02650688,0.46966228,0.53120077,Wind Vector Magnitude (-2)
181,0.50091386,0.01372511,0.027400142,0.46518007,0.5257721,Wind Vector Magnitude (-6)
34,0.500896,0.012173729,0.024303906,0.46714297,0.52880377,"4"" Soil Temp - Max (-6)"
123,0.5008512,0.0136624165,0.027278394,0.46861523,0.5296204,RH - Min (-4)
93,0.50082934,0.011640955,0.023243356,0.46898112,0.53092366,Max Wind Speed (-2)
39,0.500805,0.012055074,0.024071392,0.46679372,0.53020644,"4"" Soil Temp - Mean (-4)"
98,0.5007986,0.012365611,0.024691785,0.47620884,0.53140855,Precipitation - Total (0)
55,0.5007607,0.010964829,0.021896346,0.47306415,0.52637804,Actual Vapor Pressure - Daily Mean (-6)
29,0.5007416,0.010773857,0.021515802,0.47625062,0.53192437,"4"" Soil Temp - Max (-1)"
75,0.50073,0.013916574,0.027792573,0.46651477,0.53805405,Air Temp - Min (-5)
105,0.5007229,0.012559581,0.025082897,0.47687674,0.534706,RH - Max (0)
152,0.5007044,0.012488304,0.024941469,0.47482005,0.5329213,VPD - Mean (-5)
92,0.50070417,0.012302403,0.024570204,0.46533516,0.53996515,Max Wind Speed (-1)
97,0.5006523,0.011627462,0.023224624,0.4699051,0.5287209,Max Wind Speed (-6)
41,0.50064737,0.013726101,0.027416706,0.46589267,0.541258,"4"" Soil Temp - Mean (-6)"
36,0.50062156,0.01168436,0.023339706,0.47683406,0.5288228,"4"" Soil Temp - Mean (-1)"
165,0.5006091,0.011464366,0.022900833,0.46903512,0.540304,Wind Speed - Mean (-4)
125,0.50060564,0.013645469,0.027257921,0.4722198,0.53831756,RH - Min (-6)
16,0.5006019,0.011708374,0.023388594,0.47569484,0.532591,"20"" Soil Temp - Mean (-2)"
167,0.50059617,0.01442807,0.028821774,0.46512508,0.53661186,Wind Speed - Mean (-6)
183,0.50059533,0.011690529,0.023353253,0.47439075,0.54126567,Daily AQI Value (-1)
176,0.5005887,0.0129322605,0.025834104,0.47494796,0.5307597,Wind Vector Magnitude (-1)
154,0.50055754,0.012455437,0.024883129,0.4697518,0.54348445,Wind Direction Std Dev (0)
52,0.5004606,0.012026815,0.02403149,0.47368756,0.52995986,Actual Vapor Pressure - Daily Mean (-3)
144,0.50045973,0.013068424,0.026112838,0.46713352,0.5274057,Solar Rad. - Total (-4)
18,0.5004484,0.013649487,0.027274514,0.47155082,0.53688115,"20"" Soil Temp - Mean (-4)"
94,0.50043833,0.012301204,0.024580859,0.45974466,0.53248686,Max Wind Speed (-3)
173,0.5004321,0.012048904,0.024077002,0.47504324,0.5287012,Wind Vector Direction (-5)
139,0.50040156,0.011418246,0.022818167,0.4786646,0.5378042,Reference ET Penman-Monteith (-6)
37,0.5003464,0.012477072,0.024936866,0.4681876,0.52750593,"4"" Soil Temp - Mean (-2)"
192,0.5003384,0.011929727,0.023843318,0.4722275,0.53603655,Daily Mean PM10 Concentration (-3)
50,0.5003261,0.011126349,0.022238193,0.47207743,0.5325334,Actual Vapor Pressure - Daily Mean (-1)
170,0.5003242,0.011209735,0.022404943,0.47440708,0.5267446,Wind Vector Direction (-2)
44,0.50031734,0.012500589,0.02498532,0.47144428,0.52953124,"4"" Soil Temp - Min (-2)"
161,0.50026625,0.0124728745,0.024932472,0.47800598,0.52720296,Wind Speed - Mean (0)
122,0.5002546,0.013363486,0.026713371,0.46441185,0.5312927,RH - Min (-3)
131,0.50024664,0.011776545,0.023541477,0.467683,0.5287058,Reference ET (-5)
130,0.5002096,0.011455411,0.02290122,0.47373974,0.5263908,Reference ET (-4)
35,0.50020534,0.013137071,0.026263356,0.4747575,0.5344509,"4"" Soil Temp - Mean (0)"
85,0.5001941,0.011843275,0.02367736,0.4712952,0.5279334,Heat Units (-1)
114,0.500189,0.011927192,0.02384537,0.47250298,0.5352079,RH - Mean (-2)
101,0.5001826,0.012818185,0.02562701,0.47348416,0.52822274,Precipitation - Total (-3)
128,0.50017744,0.013107852,0.026206404,0.4704127,0.5348675,Reference ET (-2)
188,0.500175,0.013055907,0.026102677,0.4719356,0.5342692,Daily AQI Value (-6)
91,0.50017065,0.012802692,0.025596648,0.46686044,0.53242075,Max Wind Speed (0)
43,0.5001451,0.01303035,0.026053142,0.46990508,0.5338073,"4"" Soil Temp - Min (-1)"
