feature_index,mean_importance,std_importance,coefficient_of_variation,min_importance,max_importance,feature_name
7,0.50372297,0.01152234,0.022874359,0.4815698,0.53032565,"20"" Soil Temp - Max (0)"
120,0.5032443,0.011698309,0.023245787,0.48137322,0.53087556,RH - Min (-1)
195,0.5032362,0.011717125,0.02328355,0.4773922,0.5514735,Daily Mean PM10 Concentration (-6)
106,0.50282305,0.012136195,0.024136115,0.47218722,0.5290535,RH - Max (-1)
142,0.50280684,0.012824377,0.025505574,0.47626913,0.53668046,Solar Rad. - Total (-2)
51,0.5026963,0.011618255,0.023111878,0.47798762,0.5324744,Actual Vapor Pressure - Daily Mean (-2)
169,0.5026766,0.012848539,0.025560249,0.473722,0.5321176,Wind Vector Direction (-1)
168,0.50243986,0.01061612,0.021129135,0.47724915,0.5343331,Wind Vector Direction (0)
82,0.5024189,0.012670605,0.025219206,0.4742764,0.5377318,Dewpoint - Daily Mean (-5)
126,0.50234574,0.013638785,0.027150195,0.4682841,0.5419465,Reference ET (0)
111,0.5023342,0.0132237915,0.02632469,0.46225286,0.5370624,RH - Max (-6)
83,0.5022614,0.011334835,0.0225676,0.47538567,0.52713656,Dewpoint - Daily Mean (-6)
1,0.50219285,0.0126987845,0.025286669,0.4627742,0.52931875,MARICOPA (-1)
9,0.50216794,0.01078582,0.021478511,0.47353843,0.5408498,"20"" Soil Temp - Max (-2)"
14,0.5021445,0.012216535,0.024328724,0.4682327,0.53731227,"20"" Soil Temp - Mean (0)"
33,0.50213134,0.012128891,0.024154818,0.47508866,0.5336166,"4"" Soil Temp - Max (-5)"
32,0.5020975,0.011312786,0.022531053,0.47512367,0.5329347,"4"" Soil Temp - Max (-4)"
166,0.5020235,0.01220587,0.024313344,0.47751614,0.5388601,Wind Speed - Mean (-5)
117,0.5019736,0.013292684,0.026480842,0.48021144,0.54553574,RH - Mean (-5)
155,0.50180906,0.011664906,0.023245705,0.47152483,0.5261074,Wind Direction Std Dev (-1)
171,0.5016327,0.012438423,0.024795879,0.4744134,0.5395922,Wind Vector Direction (-3)
24,0.5015481,0.012368946,0.024661535,0.46091485,0.5285027,"20"" Soil Temp - Min (-3)"
55,0.50151974,0.010961599,0.021856764,0.4733177,0.52656895,Actual Vapor Pressure - Daily Mean (-6)
42,0.5014978,0.012068199,0.02406431,0.4648517,0.52804255,"4"" Soil Temp - Min (0)"
159,0.5014324,0.012584222,0.025096545,0.47310388,0.53562886,Wind Direction Std Dev (-5)
178,0.5014281,0.012918205,0.025762824,0.47436324,0.53932196,Wind Vector Magnitude (-3)
78,0.5014084,0.013481305,0.026886875,0.4644769,0.5357452,Dewpoint - Daily Mean (-1)
119,0.50137866,0.012974095,0.025876839,0.46761015,0.526644,RH - Min (0)
123,0.50136375,0.013758655,0.027442459,0.46837947,0.52972263,RH - Min (-4)
57,0.5013628,0.013290776,0.026509298,0.4633037,0.53001314,Air Temp - Max (-1)
113,0.50136274,0.012866681,0.025663417,0.47140512,0.5281424,RH - Mean (-1)
34,0.5013355,0.012177745,0.02429061,0.46735865,0.52996594,"4"" Soil Temp - Max (-6)"
28,0.5012976,0.0116699,0.023279386,0.47021425,0.53081626,"4"" Soil Temp - Max (0)"
52,0.50129235,0.012006447,0.023950987,0.47486198,0.53077954,Actual Vapor Pressure - Daily Mean (-3)
104,0.5012631,0.013000435,0.025935354,0.47591093,0.53589934,Precipitation - Total (-6)
105,0.50124484,0.012473577,0.024885196,0.47758007,0.534966,RH - Max (0)
163,0.50123954,0.014061731,0.028053915,0.465926,0.5348731,Wind Speed - Mean (-2)
39,0.5012379,0.012017928,0.023976494,0.4685563,0.53029484,"4"" Soil Temp - Mean (-4)"
75,0.50120735,0.013978836,0.027890325,0.46683902,0.53839624,Air Temp - Min (-5)
65,0.5011267,0.012968969,0.02587962,0.47692126,0.528641,Air Temp - Mean (-2)
98,0.5011059,0.012198034,0.024342228,0.47582552,0.53144586,Precipitation - Total (0)
177,0.5010904,0.013113674,0.026170274,0.47307727,0.5315531,Wind Vector Magnitude (-2)
93,0.50108296,0.011703919,0.023357248,0.46819592,0.53124297,Max Wind Speed (-2)
41,0.50108063,0.013634296,0.027209785,0.46637085,0.5412648,"4"" Soil Temp - Mean (-6)"
92,0.50104356,0.012266088,0.024481082,0.46569815,0.5399893,Max Wind Speed (-1)
29,0.5010231,0.0108082965,0.02157245,0.47690845,0.5322093,"4"" Soil Temp - Max (-1)"
18,0.50098443,0.013539669,0.027026128,0.47157165,0.5364493,"20"" Soil Temp - Mean (-4)"
125,0.5009821,0.013578673,0.027104108,0.47277513,0.53933084,RH - Min (-6)
16,0.5009711,0.011635146,0.023225185,0.47613817,0.53257346,"20"" Soil Temp - Mean (-2)"
97,0.50093895,0.011581271,0.023119126,0.4694702,0.5292234,Max Wind Speed (-6)
181,0.500924,0.013865109,0.027679067,0.4651723,0.52615666,Wind Vector Magnitude (-6)
36,0.50088423,0.011618795,0.023196567,0.47680232,0.5287903,"4"" Soil Temp - Mean (-1)"
54,0.5008716,0.0141156195,0.028182112,0.46580482,0.5404967,Actual Vapor Pressure - Daily Mean (-5)
122,0.50084174,0.013389086,0.026733167,0.46501806,0.5312002,RH - Min (-3)
50,0.50083804,0.01108981,0.022142507,0.47237697,0.53306246,Actual Vapor Pressure - Daily Mean (-1)
114,0.5008341,0.011829364,0.023619326,0.47517335,0.53522265,RH - Mean (-2)
173,0.50080603,0.012279283,0.02451904,0.475003,0.5285212,Wind Vector Direction (-5)
165,0.5007643,0.011410894,0.022786954,0.46946314,0.5398925,Wind Speed - Mean (-4)
176,0.5007084,0.012951633,0.025866618,0.47502926,0.5314112,Wind Vector Magnitude (-1)
124,0.5006924,0.011972047,0.02391098,0.47194982,0.53214973,RH - Min (-5)
37,0.50067323,0.012482856,0.024932142,0.46804982,0.5275757,"4"" Soil Temp - Mean (-2)"
47,0.50065494,0.013710009,0.027384149,0.47271636,0.5303555,"4"" Soil Temp - Min (-5)"
167,0.50063777,0.0143959,0.028755121,0.46589985,0.53692794,Wind Speed - Mean (-6)
