98,1,6,22.7,4.5,12.8,93.1,29.4,62.9,.7,12.89,0,16.6,6,10.7,13.5,7.6,10.4,1.4,.6,68,62,5.3,2.4,3.4
98,2,6,24.8,8,14.6,90.1,26.9,64.4,.8,11.4,0,19.2,8.7,12.4,15.3,9.5,11.8,1.2,.3,198,69,4.2,2,4.8
98,3,6,20.5,9.4,14.5,97.2,47,78.8,.4,10.49,0,18.4,10.3,13.2,15.6,11,12.8,2.1,1.4,176,48,6.2,1.7,3
98,4,6,19.5,5,12.6,100,49.9,80.8,.4,12.49,0,19,7.7,12.7,15.7,9.5,12.4,1.5,.8,191,56,6,1.8,2
98,5,6,16.4,4.6,10.6,100,20.6,65,.5,12.43,0,16.5,7.4,11,14.2,9.7,11.6,2.2,1.7,249,39,7.2,2.4,.9
98,6,6,15.3,-1.4,6.9,94,25.2,58.6,.5,13.55,0,16.2,4.1,9,13.2,6.7,9.6,1.4,.5,276,66,5.3,2.2,.4
98,7,6,16.1,-2.7,6,96.1,25.3,62.9,.5,13.63,0,16.2,3.3,8.5,12.9,5.7,9,1.1,.4,186,64,3.7,2,.6
98,8,6,13.4,-1.8,5.1,94.5,37.5,71.3,.3,7.39,0,12.8,3.8,7.4,10.7,5.9,8.1,1,.2,124,71,2.8,.7,.1
98,9,6,17.2,-1.6,7.5,99.7,28.5,71.9,.4,11.69,0,15.5,3.2,8.7,12.3,5.3,8.7,1.4,.6,2,59,4.7,1.7,1
98,10,6,14.3,4.1,8.4,100,57.5,94.7,.1,8.29,1,13.6,6.2,9.4,11.8,7.6,9.7,1.8,.6,16,65,7.2,.7,.3
98,11,6,13.5,3.1,7.8,100,.2,85.3,.2,5.63,0,14.4,7.2,9.9,12.3,8.9,10.1,.8,.5,182,49,2.7,.3,.1
98,12,6,16.3,3,8,95.7,35.2,80.2,.3,11.17,0,17.3,6.4,10.3,13.9,7.8,10.2,.9,.1,158,76,3,1.4,.8
98,13,6,17.7,2.8,9.2,97.4,38.3,76.6,.4,12.66,0,17.7,6.2,10.6,14.2,7.7,10.6,1.2,0,31,80,4,1.8,1.2
98,14,6,17.9,1.5,8.7,100,40,78.9,.3,13.34,0,21.2,5.7,11.4,18.3,7.5,11.4,1,.1,175,75,3.7,1.9,1.2
98,15,6,18.5,-.2,9.1,100,33.4,71.9,.5,13.4,0,17.1,5.6,10.9,14.1,7.8,11,.9,0,104,80,4.2,2,1.4
98,16,6,20.9,7.9,13.8,86.4,32,61.5,.7,13.31,0,19.1,9.8,13.1,15.8,10.6,12.7,1,.3,178,67,3.3,2.3,3
98,17,6,20.9,4.9,11.7,96.8,39.3,72.6,.5,12.36,0,18.9,7.6,11.9,15.3,9.2,12,1,.2,158,73,3.3,1.9,2.6
98,18,6,21.8,3.2,11.3,100,38.9,76.8,.4,13.12,0,18.6,6.7,11.6,15.1,8.6,11.7,1.1,0,224,80,3.3,2,2.9
