feature_index,mean_importance,std_importance,coefficient_of_variation,min_importance,max_importance,feature_name
7,0.5035917,0.011525616,0.022886826,0.4810285,0.53053325,"20"" Soil Temp - Max (0)"
120,0.5031739,0.011820699,0.023492275,0.4815085,0.5323927,RH - Min (-1)
195,0.5030405,0.011709324,0.0232771,0.47745743,0.55020845,Daily Mean PM10 Concentration (-6)
106,0.5027336,0.012246377,0.024359576,0.47211376,0.53014404,RH - Max (-1)
142,0.50263643,0.012849689,0.025564581,0.47616795,0.5360954,Solar Rad. - Total (-2)
169,0.5025949,0.0128185665,0.02550477,0.47506487,0.53189397,Wind Vector Direction (-1)
1,0.50234735,0.012587535,0.025057433,0.46523002,0.5290571,MARICOPA (-1)
168,0.5022696,0.01071217,0.02132753,0.47641236,0.5346091,Wind Vector Direction (0)
51,0.5022337,0.01166288,0.023222018,0.47844476,0.5329126,Actual Vapor Pressure - Daily Mean (-2)
111,0.50209385,0.013256756,0.026402943,0.4623677,0.53669196,RH - Max (-6)
14,0.50201833,0.012207571,0.024316983,0.46845704,0.53744125,"20"" Soil Temp - Mean (0)"
126,0.5020044,0.013699911,0.02729042,0.468315,0.5429815,Reference ET (0)
166,0.501909,0.012173556,0.024254506,0.4761285,0.5390787,Wind Speed - Mean (-5)
82,0.5018891,0.012625003,0.025154965,0.4751205,0.53629655,Dewpoint - Daily Mean (-5)
9,0.5018258,0.01086364,0.02164823,0.47357926,0.5406539,"20"" Soil Temp - Max (-2)"
83,0.50181824,0.01136142,0.022640508,0.47657984,0.526971,Dewpoint - Daily Mean (-6)
33,0.5017939,0.01210045,0.024114382,0.4752159,0.53328186,"4"" Soil Temp - Max (-5)"
155,0.50170195,0.011623654,0.023168445,0.46963915,0.52586836,Wind Direction Std Dev (-1)
32,0.50165904,0.011385326,0.022695348,0.4748466,0.53415734,"4"" Soil Temp - Max (-4)"
171,0.5016487,0.01239357,0.024705673,0.47487321,0.5387751,Wind Vector Direction (-3)
117,0.50153124,0.013371393,0.026661137,0.47895885,0.54272884,RH - Mean (-5)
42,0.5014972,0.012051648,0.024031337,0.46491313,0.52802634,"4"" Soil Temp - Min (0)"
178,0.5014364,0.012910097,0.02574623,0.474225,0.5400968,Wind Vector Magnitude (-3)
119,0.50138766,0.012873961,0.02567666,0.4670588,0.52686423,RH - Min (0)
78,0.5013679,0.013628587,0.027182806,0.46283278,0.5359659,Dewpoint - Daily Mean (-1)
113,0.5013635,0.012740521,0.025411744,0.47526667,0.5283207,RH - Mean (-1)
159,0.5013546,0.012615021,0.025161875,0.4727024,0.5356783,Wind Direction Std Dev (-5)
105,0.50128555,0.012430448,0.02479714,0.47687688,0.5346832,RH - Max (0)
28,0.5011609,0.011650441,0.023246907,0.47054213,0.53064495,"4"" Soil Temp - Max (0)"
57,0.5011424,0.013404643,0.026748173,0.46305904,0.5301889,Air Temp - Max (-1)
123,0.50110406,0.013642145,0.027224177,0.46859878,0.5296314,RH - Min (-4)
163,0.5010829,0.013966181,0.027871998,0.46532255,0.5347927,Wind Speed - Mean (-2)
52,0.50107306,0.012044601,0.024037614,0.47421676,0.532572,Actual Vapor Pressure - Daily Mean (-3)
55,0.50104314,0.011028419,0.022010917,0.4731379,0.5263153,Actual Vapor Pressure - Daily Mean (-6)
24,0.5010348,0.012283809,0.024516877,0.46047816,0.5284872,"20"" Soil Temp - Min (-3)"
177,0.5010266,0.013289423,0.026524387,0.47015706,0.5312372,Wind Vector Magnitude (-2)
92,0.50098866,0.012313867,0.024579134,0.46568385,0.5406754,Max Wind Speed (-1)
181,0.5009423,0.013722469,0.027393313,0.46532008,0.5257136,Wind Vector Magnitude (-6)
104,0.5009318,0.013083261,0.02611785,0.47557038,0.53589344,Precipitation - Total (-6)
65,0.5009304,0.012946684,0.025845274,0.4770306,0.5280477,Air Temp - Mean (-2)
98,0.5009148,0.0122857485,0.024526622,0.47615612,0.5310666,Precipitation - Total (0)
93,0.50087184,0.011689431,0.023338167,0.46902597,0.53198475,Max Wind Speed (-2)
39,0.5008561,0.012054849,0.024068488,0.46687436,0.53039145,"4"" Soil Temp - Mean (-4)"
125,0.50084376,0.01367469,0.027303306,0.47209612,0.5383274,RH - Min (-6)
34,0.5008431,0.012184718,0.024328412,0.467144,0.528466,"4"" Soil Temp - Max (-6)"
50,0.50082415,0.010986751,0.021937342,0.47215378,0.532548,Actual Vapor Pressure - Daily Mean (-1)
29,0.50082237,0.01071577,0.021396348,0.47735474,0.5311433,"4"" Soil Temp - Max (-1)"
165,0.5008192,0.0113940975,0.02275092,0.46928602,0.54009145,Wind Speed - Mean (-4)
75,0.5008041,0.013872802,0.027701054,0.46674946,0.5381652,Air Temp - Min (-5)
16,0.5007281,0.011703472,0.023372909,0.47596893,0.5326849,"20"" Soil Temp - Mean (-2)"
36,0.5007063,0.011669947,0.02330697,0.4765811,0.52893406,"4"" Soil Temp - Mean (-1)"
176,0.5006963,0.012886639,0.025737435,0.4750572,0.53119594,Wind Vector Magnitude (-1)
97,0.50066113,0.011635218,0.023239706,0.46973118,0.5290266,Max Wind Speed (-6)
41,0.5006333,0.013729731,0.027424725,0.4660344,0.5413426,"4"" Soil Temp - Mean (-6)"
167,0.5006249,0.014399819,0.02876369,0.4657249,0.5368554,Wind Speed - Mean (-6)
152,0.50062144,0.012440029,0.024849173,0.47466078,0.532598,VPD - Mean (-5)
122,0.50052834,0.013369011,0.026709799,0.4644323,0.53088886,RH - Min (-3)
154,0.5005279,0.012377728,0.024729345,0.46977827,0.5425554,Wind Direction Std Dev (0)
94,0.50052744,0.012282899,0.02453991,0.45995602,0.532435,Max Wind Speed (-3)
173,0.50052565,0.012073534,0.024121707,0.47507304,0.5287685,Wind Vector Direction (-5)
18,0.5005054,0.0136124855,0.02719748,0.4714713,0.536455,"20"" Soil Temp - Mean (-4)"
114,0.5004912,0.011870398,0.023717497,0.47249883,0.5351792,RH - Mean (-2)
183,0.5004091,0.011731682,0.023444181,0.47462943,0.54141265,Daily AQI Value (-1)
37,0.500376,0.012472939,0.024927134,0.4685016,0.5274427,"4"" Soil Temp - Mean (-2)"
44,0.50037295,0.012488936,0.024959255,0.47128415,0.5295452,"4"" Soil Temp - Min (-2)"
139,0.5003725,0.011373876,0.022730816,0.47874713,0.5377163,Reference ET Penman-Monteith (-6)
161,0.5003318,0.012383568,0.024750711,0.47820073,0.5272411,Wind Speed - Mean (0)
170,0.5003277,0.0112932315,0.02257167,0.47411516,0.5263979,Wind Vector Direction (-2)
35,0.5003239,0.013142668,0.02626832,0.47483334,0.5341342,"4"" Soil Temp - Mean (0)"
73,0.50031954,0.013280185,0.026543407,0.45835605,0.5292871,Air Temp - Min (-3)
109,0.5003072,0.012642262,0.025268998,0.46504715,0.53493154,RH - Max (-4)
144,0.5003034,0.013138377,0.02626082,0.46772146,0.52781063,Solar Rad. - Total (-4)
101,0.5002426,0.01271684,0.025421346,0.47380096,0.5280373,Precipitation - Total (-3)
54,0.5002302,0.01416954,0.02832604,0.46621653,0.5418378,Actual Vapor Pressure - Daily Mean (-5)
85,0.5002299,0.011877451,0.023743985,0.47138578,0.53024596,Heat Units (-1)
91,0.5002298,0.012793488,0.025575222,0.466944,0.53248185,Max Wind Speed (0)
43,0.5002292,0.013037959,0.026063971,0.47002786,0.5336081,"4"" Soil Temp - Min (-1)"
188,0.5002129,0.013016985,0.026022889,0.4717235,0.53398055,Daily AQI Value (-6)
108,0.5002062,0.011985693,0.023961505,0.45858338,0.52565444,RH - Max (-3)
192,0.5002016,0.011923069,0.023836529,0.47274235,0.5365056,Daily Mean PM10 Concentration (-3)
175,0.5001845,0.013235495,0.026461229,0.46681586,0.5412537,Wind Vector Magnitude (0)
47,0.50017035,0.013635703,0.027262118,0.47291544,0.5303266,"4"" Soil Temp - Min (-5)"
110,0.5001517,0.0114515945,0.022896243,0.47269613,0.53213483,RH - Max (-5)
88,0.5001419,0.012668734,0.025330279,0.46997836,0.52743,Heat Units (-4)
31,0.5001392,0.010966942,0.02192778,0.47653344,0.5276798,"4"" Soil Temp - Max (-3)"
124,0.5001377,0.012194524,0.024382332,0.47226128,0.53216666,RH - Min (-5)
112,0.5001318,0.011137439,0.022269009,0.47628698,0.52921426,RH - Mean (0)
69,0.50012124,0.01333863,0.026670793,0.47144312,0.53761685,Air Temp - Mean (-6)
194,0.50011665,0.01209549,0.024185337,0.46448416,0.5261883,Daily Mean PM10 Concentration (-5)
131,0.5000976,0.0117264,0.023448223,0.46754977,0.52921975,Reference ET (-5)
63,0.5000938,0.012088832,0.02417313,0.4762846,0.54093397,Air Temp - Mean (0)
87,0.5000757,0.013143875,0.02628377,0.474182,0.5381194,Heat Units (-3)
99,0.50007474,0.012126672,0.02424972,0.4744445,0.52696717,Precipitation - Total (-1)
184,0.50007147,0.01159392,0.023184527,0.46396506,0.52485985,Daily AQI Value (-2)
79,0.50007004,0.011493477,0.022983735,0.4690157,0.52315396,Dewpoint - Daily Mean (-2)
130,0.50004077,0.0114923585,0.022982843,0.4730978,0.5262766,Reference ET (-4)
133,0.5000264,0.011566411,0.0231316,0.4765323,0.52528906,Reference ET Penman-Monteith (0)
107,0.50002396,0.013062992,0.026124733,0.47045386,0.53592557,RH - Max (-2)
95,0.50002104,0.013274131,0.026547145,0.46235374,0.52893007,Max Wind Speed (-4)
128,0.499971,0.013139507,0.026280537,0.46911418,0.534821,Reference ET (-2)
151,0.4999498,0.012637348,0.025277233,0.47302568,0.53277385,VPD - Mean (-4)
138,0.49990213,0.012115714,0.024236172,0.4596687,0.5309,Reference ET Penman-Monteith (-5)
0,0.4998996,0.013718909,0.027443329,0.46818954,0.52801424,MARICOPA (0)
140,0.49986842,0.012327461,0.02466141,0.47542566,0.53050494,Solar Rad. - Total (0)
164,0.4998679,0.012553191,0.025113016,0.47085628,0.5309026,Wind Speed - Mean (-3)
2,0.49985105,0.011773226,0.023553468,0.47496986,0.5302396,MARICOPA (-2)
