,feature_index,mean_importance,std_importance,coefficient_of_variation,min_importance,max_importance,feature_name
7,7,0.5035917,0.011525616,0.022886826,0.4810285,0.53053325,"20"" Soil Temp - Max (0)"
120,120,0.5031739,0.011820699,0.023492275,0.4815085,0.5323927,RH - Min (-1)
195,195,0.5030405,0.011709324,0.0232771,0.47745743,0.55020845,Daily Mean PM10 Concentration (-6)
106,106,0.5027336,0.012246377,0.024359576,0.47211376,0.53014404,RH - Max (-1)
142,142,0.50263643,0.012849689,0.025564581,0.47616795,0.5360954,Solar Rad. - Total (-2)
169,169,0.5025949,0.0128185665,0.02550477,0.47506487,0.53189397,Wind Vector Direction (-1)
1,1,0.50234735,0.012587535,0.025057433,0.46523002,0.5290571,MARICOPA (-1)
168,168,0.5022696,0.01071217,0.02132753,0.47641236,0.5346091,Wind Vector Direction (0)
51,51,0.5022337,0.01166288,0.023222018,0.47844476,0.5329126,Actual Vapor Pressure - Daily Mean (-2)
111,111,0.50209385,0.013256756,0.026402943,0.4623677,0.53669196,RH - Max (-6)
14,14,0.50201833,0.012207571,0.024316983,0.46845704,0.53744125,"20"" Soil Temp - Mean (0)"
126,126,0.5020044,0.013699911,0.02729042,0.468315,0.5429815,Reference ET (0)
166,166,0.501909,0.012173556,0.024254506,0.4761285,0.5390787,Wind Speed - Mean (-5)
82,82,0.5018891,0.012625003,0.025154965,0.4751205,0.53629655,Dewpoint - Daily Mean (-5)
9,9,0.5018258,0.01086364,0.02164823,0.47357926,0.5406539,"20"" Soil Temp - Max (-2)"
83,83,0.50181824,0.01136142,0.022640508,0.47657984,0.526971,Dewpoint - Daily Mean (-6)
33,33,0.5017939,0.01210045,0.024114382,0.4752159,0.53328186,"4"" Soil Temp - Max (-5)"
155,155,0.50170195,0.011623654,0.023168445,0.46963915,0.52586836,Wind Direction Std Dev (-1)
32,32,0.50165904,0.011385326,0.022695348,0.4748466,0.53415734,"4"" Soil Temp - Max (-4)"
